Species,Parity
Sphenodon_punctatus,1
Dibamus_bourreti,1
Dibamus_greeri,1
Dibamus_montanus,1
Anelytropsis_papillosus,1
Dibamus_tiomanensis,1
Dibamus_novaeguineae,1
Dibamus_celebensis,1
Dibamus_seramensis,1
Phyllurus_kabikabi,1
Phyllurus_amnicola,1
Phyllurus_platurus,1
Saltuarius_salebrosus,1
Saltuarius_cornutus,1
Saltuarius_wyberba,1
Saltuarius_kateae,1
Saltuarius_moritzi,1
Saltuarius_swaini,1
Orraya_occultus,1
Carphodactylus_laevis,1
Underwoodisaurus_sphyrurus,1
Underwoodisaurus_milii,1
Nephrurus_wheeleri,1
Nephrurus_asper,1
Nephrurus_sheai,1
Nephrurus_amyae,1
Nephrurus_levis,1
Nephrurus_stellatus,1
Nephrurus_vertebralis,1
Nephrurus_deleani,1
Nephrurus_laevissimus,1
Delma_australis,1
Delma_torquata,1
Delma_concinna,1
Delma_labialis,1
Delma_borea,1
Delma_tincta,1
Delma_pax,1
Delma_mitella,1
Delma_impar,1
Delma_molleri,1
Delma_butleri,1
Delma_nasuta,1
Delma_inornata,1
Delma_grayii,1
Delma_fraseri,1
Ophidiocephalus_taeniatus,1
Lialis_jicari,1
Lialis_burtonis,1
Pletholax_gracilis,1
Paradelma_orientalis,1
Pygopus_lepidopodus,1
Pygopus_nigriceps,1
Aprasia_picturata,1
Aprasia_pulchella,1
Aprasia_fusca,1
Aprasia_repens,1
Aprasia_smithi,1
Aprasia_aurita,1
Aprasia_pseudopulchella,1
Aprasia_parapulchella,1
Aprasia_inaurita,1
Aprasia_striolata,1
Pseudothecadactylus_lindneri,1
Rhacodactylus_trachyrhynchus,2
Oedodera_marmorata,1
Dierogekko_poumensis,1
Dierogekko_inexpectatus,1
Dierogekko_nehoueensis,1
Dierogekko_validiclavis,1
Dierogekko_insularis,1
Dierogekko_koniambo,1
Dierogekko_kaalaensis,1
Dierogekko_thomaswhitei,1
Bavayia_pulchella,1
Bavayia_geitaina,1
Bavayia_sauvagii,1
Bavayia_madjo,1
Rhacodactylus_leachianus,1
Bavayia_ornata,1
Bavayia_goroensis,1
Bavayia_cyclura,1
Bavayia_montana,1
Rhacodactylus_auriculatus,1
Rhacodactylus_sarasinorum,1
Rhacodactylus_ciliatus,1
Eurydactylodes_symmetricus,1
Rhacodactylus_chahoua,1
Eurydactylodes_occidentalis,1
Eurydactylodes_agricolae,1
Eurydactylodes_vieillardi,1
Crenadactylus_ocellatus,1
Hoplodactylus_duvaucelii,2
Hoplodactylus_chrysosireticus,2
Hoplodactylus_maculatus,2
Hoplodactylus_stephensi,2
Hoplodactylus_pacificus,2
Hoplodactylus_cryptozoicus,2
Hoplodactylus_nebulosus,2
Hoplodactylus_granulatus,2
Hoplodactylus_kahutarae,2
Hoplodactylus_rakiurae,2
Naultinus_gemmeus,2
Naultinus_elegans,2
Naultinus_grayii,2
Naultinus_tuberculatus,2
Naultinus_stellatus,2
Naultinus_manukanus,2
Naultinus_poecilochlorus,2
Naultinus_rudis,2
Strophurus_taenicauda,1
Oedura_robusta,1
Oedura_lesueurii,1
Oedura_rhombifer,1
Oedura_obscura,1
Oedura_reticulata,1
Oedura_gemmata,1
Oedura_marmorata,1
Oedura_filicipoda,1
Oedura_gracilis,1
Oedura_castelnaui,1
Oedura_coggeri,1
Oedura_tryoni,1
Oedura_monilis,1
Strophurus_mcmillani,1
Strophurus_taeniatus,1
Strophurus_elderi,1
Strophurus_jeanae,1
Strophurus_strophurus,1
Strophurus_assimilis,1
Strophurus_krisalys,1
Strophurus_ciliaris,1
Strophurus_wellingtonae,1
Strophurus_williamsi,1
Strophurus_intermedius,1
Strophurus_rankini,1
Strophurus_spinigerus,1
Rhynchoedura_ornata,1
Lucasium_byrnei,1
Lucasium_alboguttatum,1
Lucasium_maini,1
Lucasium_damaeum,1
Lucasium_immaculatum,1
Lucasium_steindachneri,1
Lucasium_wombeyi,1
Lucasium_stenodactylum,1
Lucasium_squarrosum,1
Diplodactylus_granariensis,1
Diplodactylus_fulleri,1
Diplodactylus_vittatus,1
Diplodactylus_galeatus,1
Diplodactylus_tessellatus,1
Diplodactylus_ornatus,1
Diplodactylus_polyophthalmus,1
Diplodactylus_conspicillatus,1
Diplodactylus_mitchelli,1
Diplodactylus_capensis,1
Diplodactylus_savagei,1
Diplodactylus_klugei,1
Diplodactylus_pulcher,1
Aeluroscalabotes_felinus,1
Coleonyx_elegans,1
Coleonyx_mitratus,1
Coleonyx_variegatus,1
Coleonyx_brevis,1
Goniurosaurus_kuroiwae,1
Goniurosaurus_lichtenfelderi,1
Goniurosaurus_catbaensis,1
Goniurosaurus_araneus,1
Goniurosaurus_luii,1
Eublepharis_turcmenicus,1
Eublepharis_macularius,1
Holodactylus_africanus,1
Hemitheconyx_taylori,1
Hemitheconyx_caudicinctus,1
Quedenfeldtia_moerens,1
Quedenfeldtia_trachyblepharus,1
Aristelliger_lar,1
Aristelliger_georgeensis,1
Aristelliger_praesignis,1
Euleptes_europaea,1
Saurodactylus_fasciatus,1
Teratoscincus_microlepis,1
Teratoscincus_scincus,1
Teratoscincus_roborowskii,1
Teratoscincus_przewalskii,1
Pristurus_celerrimus,1
Pristurus_insignis,1
Pristurus_guichardi,1
Pristurus_sokotranus,1
Pristurus_abdelkuri,1
Pristurus_rupestris,1
Pristurus_flavipunctatus,1
Pristurus_minimus,1
Pristurus_carteri,1
Pristurus_somalicus,1
Pristurus_crucifer,1
Saurodactylus_mauritanicus,1
Coleodactylus_amazonicus,1
Lepidoblepharis_festae,1
Lepidoblepharis_xanthostigma,1
Gonatodes_caudiscutatus,1
Gonatodes_eladioi,1
Gonatodes_daudini,1
Gonatodes_albogularis,1
Gonatodes_vittatus,1
Gonatodes_petersi,1
Gonatodes_infernalis,1
Gonatodes_hasemani,1
Gonatodes_annularis,1
Gonatodes_alexandermendesi,1
Gonatodes_superciliaris,1
Gonatodes_purpurogularis,1
Gonatodes_falconensis,1
Gonatodes_taniae,1
Gonatodes_seigliei,1
Gonatodes_ocellatus,1
Gonatodes_ceciliae,1
Gonatodes_humeralis,1
Gonatodes_concinnatus,1
Gonatodes_antillensis,1
Coleodactylus_septentrionalis,1
Coleodactylus_brachystoma,1
Coleodactylus_natalensis,1
Coleodactylus_meridionalis,1
Pseudogonatodes_manessi,1
Pseudogonatodes_guianensis,1
Pseudogonatodes_lunulatus,1
Sphaerodactylus_sputator,1
Sphaerodactylus_fantasticus,1
Sphaerodactylus_sabanus,1
Sphaerodactylus_elegantulus,1
Sphaerodactylus_parvus,1
Sphaerodactylus_microlepis,1
Sphaerodactylus_kirbyi,1
Sphaerodactylus_vincenti,1
Sphaerodactylus_schwartzi,1
Sphaerodactylus_oliveri,1
Sphaerodactylus_richardi,1
Sphaerodactylus_cricoderus,1
Sphaerodactylus_ramsdeni,1
Sphaerodactylus_glaucus,1
Sphaerodactylus_molei,1
Sphaerodactylus_thompsoni,1
Sphaerodactylus_cinereus,1
Sphaerodactylus_torrei,1
Sphaerodactylus_nigropunctatus,1
Sphaerodactylus_intermedius,1
Sphaerodactylus_copei,1
Sphaerodactylus_elegans,1
Sphaerodactylus_leucaster,1
Sphaerodactylus_shrevei,1
Sphaerodactylus_darlingtoni,1
Sphaerodactylus_cryphius,1
Sphaerodactylus_altavelensis,1
Sphaerodactylus_notatus,1
Sphaerodactylus_argus,1
Sphaerodactylus_roosevelti,1
Sphaerodactylus_macrolepis,1
Sphaerodactylus_armstrongi,1
Sphaerodactylus_townsendi,1
Sphaerodactylus_semasiops,1
Sphaerodactylus_goniorhynchus,1
Sphaerodactylus_klauberi,1
Sphaerodactylus_gaigeae,1
Sphaerodactylus_nicholsi,1
Sphaerodactylus_ocoae,1
Thecadactylus_rapicauda,1
Thecadactylus_solimoensis,1
Asaccus_platyrhynchus,1
Haemodracon_riebeckii,1
Ptyodactylus_ragazzii,1
Ptyodactylus_oudrii,1
Ptyodactylus_guttatus,1
Ptyodactylus_hasselquistii,1
Homonota_gaudichaudii,1
Homonota_fasciata,1
Homonota_andicola,1
Homonota_darwinii,1
Homonota_borellii,1
Homonota_underwoodi,1
Phyllodactylus_wirshingi,1
Phyllodactylus_reissii,1
Phyllodactylus_tuberculosus,1
Phyllodactylus_bordai,1
Phyllodactylus_lanei,1
Phyllodactylus_xanti,1
Phyllodactylus_unctus,1
Phyllodactylus_nocticolus,1
Phyllodactylus_bugastrolepis,1
Phyllodactylus_paucituberculatus,1
Phyllodactylus_delcampoi,1
Phyllodactylus_duellmani,1
Phyllodactylus_homolepidurus,1
Phyllodactylus_davisi,1
Phyllopezus_periosus,1
Phyllopezus_pollicaris,1
Phyllopezus_maranjonensis,1
Bogertia_lutzae,1
Tarentola_americana,1
Tarentola_deserti,1
Tarentola_boehmei,1
Tarentola_mindiae,1
Tarentola_neglecta,1
Tarentola_angustimentalis,1
Tarentola_mauritanica,1
Tarentola_boettgeri,1
Tarentola_annularis,1
Tarentola_ephippiata,1
Tarentola_gomerensis,1
Tarentola_delalandii,1
Geckonia_chazaliae,1
Tarentola_darwini,1
Tarentola_rudis,1
Tarentola_gigas,1
Tarentola_caboverdianus,1
Lepidodactylus_novaeguineae,1
Pseudogekko_compressicorpus,1
Pseudogekko_smaragdinus,1
Luperosaurus_joloensis,1
Lepidodactylus_moestus,1
Lepidodactylus_lugubris,1
Lepidodactylus_orientalis,1
Luperosaurus_cumingii,1
Luperosaurus_macgregori,1
Gekko_gecko,1
Gekko_smithii,1
Gekko_chinensis,1
Gekko_japonicus,1
Gekko_hokouensis,1
Gekko_swinhonis,1
Gekko_auriverrucosus,1
Gekko_athymus,1
Gekko_mindorensis,1
Gekko_monarchus,1
Gekko_romblon,1
Gekko_porosus,1
Gekko_crombota,1
Ptychozoon_rhacophorus,1
Ptychozoon_lionotum,1
Ptychozoon_kuhli,1
Gekko_vittatus,1
Luperosaurus_iskandari,1
Gekko_petricolus,1
Gekko_grossmanni,1
Gekko_badenii,1
Heteronotia_planiceps,1
Heteronotia_spelea,1
Heteronotia_binoei,1
Dixonius_melanostictus,1
Dixonius_siamensis,1
Dixonius_vietnamensis,1
Nactus_acutus,1
Nactus_eboracensis,1
Nactus_vankampeni,1
Nactus_pelagicus,1
Nactus_multicarinatus,1
Nactus_cheverti,1
Nactus_galgajuga,1
Hemiphyllodactylus_typus,1
Hemiphyllodactylus_aurantiacus,1
Hemiphyllodactylus_yunnanensis,1
Gehyra_mutilata,1
Gehyra_fehlmanni,1
Gehyra_lacerata,1
Gehyra_brevipalmata,1
Gehyra_oceanica,1
Gehyra_marginata,1
Gehyra_barea,1
Gehyra_baliola,1
Gehyra_membranacruralis,1
Gehyra_xenopus,1
Gehyra_nana,1
Gehyra_variegata,1
Gehyra_purpurascens,1
Gehyra_punctata,1
Gehyra_pilbara,1
Gehyra_minuta,1
Gehyra_montium,1
Gehyra_catenata,1
Gehyra_dubia,1
Gehyra_pamela,1
Gehyra_borroloola,1
Gehyra_robusta,1
Gehyra_koira,1
Gehyra_australis,1
Gehyra_occidentalis,1
Alsophylax_pipiens,1
Tropiocolotes_helenae,1
Cnemaspis_kendallii,1
Cnemaspis_limi,1
Cyrtopodion_russowii,1
Cyrtopodion_spinicaudum,1
Stenodactylus_khobarensis,1
Tropiocolotes_tripolitanus,1
Stenodactylus_arabicus,1
Stenodactylus_petrii,1
Stenodactylus_sthenodactylus,1
Stenodactylus_yemenensis,1
Stenodactylus_doriae,1
Stenodactylus_leptocosymbotus,1
Cyrtopodion_kotschyi,1
Cyrtopodion_sagittiferum,1
Carinatogecko_heteropholis,1
Cyrtopodion_heterocercum,1
Bunopus_tuberculatus,1
Bunopus_crassicauda,1
Crossobamon_orientalis,1
Agamura_persica,1
Cyrtopodion_scabrum,1
Cyrtopodion_sistanensis,1
Cyrtopodion_gastrophole,1
Cyrtopodion_agamuroides,1
Cyrtopodion_caspium,1
Cyrtopodion_longipes,1
Cyrtodactylus_oldhami,1
Cyrtodactylus_ayeyarwadyensis,1
Cyrtodactylus_jarujini,1
Cyrtodactylus_angularis,1
Geckoella_triedrus,1
Cyrtodactylus_marmoratus,1
Cyrtodactylus_consobrinus,1
Cyrtodactylus_irregularis,1
Cyrtodactylus_annulatus,1
Cyrtodactylus_agusanensis,1
Cyrtodactylus_philippinicus,1
Cyrtodactylus_intermedius,1
Cyrtodactylus_pulchellus,1
Cyrtodactylus_tuberculatus,1
Cyrtodactylus_novaeguineae,1
Cyrtodactylus_loriae,1
Cyrtodactylus_sermowaiensis,1
Cyrtodactylus_robustus,1
Cyrtodactylus_klugei,1
Cyrtodactylus_tripartitus,1
Cyrtodactylus_louisiadensis,1
Cyrtodactylus_epiroticus,1
Hemidactylus_bowringii,1
Hemidactylus_garnotii,1
Hemidactylus_platyurus,1
Hemidactylus_karenorum,1
Hemidactylus_fasciatus,1
Hemidactylus_giganteus,1
Hemidactylus_aaronbaueri,1
Hemidactylus_depressus,1
Hemidactylus_triedrus,1
Hemidactylus_maculatus,1
Hemidactylus_prashadi,1
Hemidactylus_flaviviridis,1
Hemidactylus_leschenaultii,1
Hemidactylus_frenatus,1
Hemidactylus_brookii,1
Hemidactylus_sataraensis,1
Teratolepis_fasciata,1
Hemidactylus_albofasciatus,1
Hemidactylus_gracilis,1
Hemidactylus_reticulatus,1
Hemidactylus_haitianus,1
Hemidactylus_angulatus,1
Hemidactylus_mercatorius,1
Hemidactylus_mabouia,1
Hemidactylus_platycephalus,1
Hemidactylus_longicephalus,1
Hemidactylus_brasilianus,1
Hemidactylus_greefii,1
Hemidactylus_bouvieri,1
Hemidactylus_agrius,1
Hemidactylus_palaichthus,1
Hemidactylus_modestus,1
Hemidactylus_foudaii,1
Hemidactylus_citernii,1
Hemidactylus_pumilio,1
Hemidactylus_granti,1
Hemidactylus_dracaenacolus,1
Hemidactylus_persicus,1
Hemidactylus_robustus,1
Hemidactylus_yerburyi,1
Hemidactylus_turcicus,1
Hemidactylus_mindiae,1
Hemidactylus_lemurinus,1
Hemidactylus_macropholis,1
Hemidactylus_oxyrhinus,1
Hemidactylus_homoeolepis,1
Hemidactylus_forbesii,1
Perochirus_ateles,1
Urocotyledon_inexpectata,1
Ebenavia_inunguis,1
Paroedura_masobe,1
Paroedura_gracilis,1
Paroedura_homalorhina,1
Paroedura_karstophila,1
Paroedura_oviceps,1
Paroedura_lohatsara,1
Paroedura_sanctijohannis,1
Paroedura_stumpffi,1
Paroedura_androyensis,1
Paroedura_picta,1
Paroedura_vazimba,1
Paroedura_bastardi,1
Paroedura_tanjaka,1
Ailuronyx_tachyscopaeus,1
Ailuronyx_trachygaster,1
Ailuronyx_seychellensis,1
Calodactylodes_aureus,1
Calodactylodes_illingworthorum,1
Narudasia_festiva,1
Ptenopus_carpi,1
Cnemaspis_uzungwae,1
Cnemaspis_africana,1
Cnemaspis_dickersoni,1
Uroplatus_malahelo,1
Uroplatus_guentheri,1
Uroplatus_malama,1
Uroplatus_phantasticus,1
Uroplatus_ebenaui,1
Uroplatus_pietschmanni,1
Uroplatus_alluaudi,1
Uroplatus_lineatus,1
Uroplatus_fimbriatus,1
Uroplatus_giganteus,1
Uroplatus_henkeli,1
Uroplatus_sikorae,1
Paragehyra_gabriellae,1
Matoatoa_brevipes,1
Afroedura_pondolia,1
Afrogecko_porphyreus,1
Christinus_marmoratus,1
Cryptactites_peringueyi,1
Afrogecko_swartbergensis,1
Afroedura_karroica,1
Geckolepis_maculata,1
Geckolepis_typica,1
Blaesodactylus_boivini,1
Blaesodactylus_sakalava,1
Blaesodactylus_antongilensis,1
Homopholis_fasciata,1
Homopholis_mulleri,1
Homopholis_walbergii,1
Goggia_lineata,1
Rhoptropus_bradfieldi,1
Rhoptropus_afer,1
Rhoptropus_boultoni,1
Rhoptropus_barnardi,1
Rhoptropus_biporosus,1
Elasmodactylus_tuberculosus,1
Elasmodactylus_tetensis,1
Chondrodactylus_angulifer,1
Chondrodactylus_bibronii,1
Chondrodactylus_fitzsimonsi,1
Chondrodactylus_turneri,1
Pachydactylus_laevigatus,1
Pachydactylus_robertsi,1
Colopus_kochii,1
Colopus_wahlbergii,1
Pachydactylus_haackei,1
Pachydactylus_namaquensis,1
Pachydactylus_kladaroderma,1
Pachydactylus_caraculicus,1
Pachydactylus_bicolor,1
Pachydactylus_sansteynae,1
Pachydactylus_punctatus,1
Pachydactylus_scherzi,1
Pachydactylus_parascutatus,1
Pachydactylus_scutatus,1
Pachydactylus_reconditus,1
Pachydactylus_oreophilus,1
Pachydactylus_gaiasensis,1
Pachydactylus_rugosus,1
Pachydactylus_barnardi,1
Pachydactylus_formosus,1
Pachydactylus_labialis,1
Pachydactylus_geitje,1
Pachydactylus_oculatus,1
Pachydactylus_maculatus,1
Pachydactylus_mariquensis,1
Pachydactylus_austeni,1
Pachydactylus_vanzyli,1
Pachydactylus_rangei,1
Pachydactylus_montanus,1
Pachydactylus_oshaughnessyi,1
Pachydactylus_tigrinus,1
Pachydactylus_capensis,1
Pachydactylus_affinis,1
Pachydactylus_vansoni,1
Pachydactylus_purcelli,1
Pachydactylus_waterbergensis,1
Pachydactylus_fasciatus,1
Pachydactylus_tsodiloensis,1
Pachydactylus_weberi,1
Pachydactylus_mclachlani,1
Pachydactylus_monicae,1
Pachydactylus_carinatus,1
Pachydactylus_serval,1
Pachydactylus_griffini,1
Cnemaspis_podihuna,1
Cnemaspis_tropidogaster,1
Cnemaspis_kandiana,1
Phelsuma_ocellata,1
Lygodactylus_expectatus,1
Lygodactylus_rarus,1
Lygodactylus_madagascariensis,1
Lygodactylus_guibei,1
Lygodactylus_miops,1
Lygodactylus_tolampyae,1
Lygodactylus_verticillatus,1
Lygodactylus_heterurus,1
Lygodactylus_blancae,1
Lygodactylus_pauliani,1
Lygodactylus_arnoulti,1
Lygodactylus_gravis,1
Lygodactylus_lawrencei,1
Lygodactylus_stevensoni,1
Lygodactylus_bradfieldi,1
Lygodactylus_capensis,1
Lygodactylus_montanus,1
Lygodactylus_tuberosus,1
Lygodactylus_pictus,1
Lygodactylus_mirabilis,1
Lygodactylus_klugei,1
Lygodactylus_thomensis,1
Lygodactylus_conraui,1
Lygodactylus_angularis,1
Lygodactylus_gutturalis,1
Lygodactylus_chobiensis,1
Lygodactylus_williamsi,1
Lygodactylus_keniensis,1
Lygodactylus_kimhowelli,1
Lygodactylus_luteopicturatus,1
Lygodactylus_picturatus,1
Phelsuma_vanheygeni,1
Phelsuma_sundbergi,1
Phelsuma_astriata,1
Phelsuma_guttata,1
Phelsuma_madagascariensis,1
Phelsuma_abbotti,1
Phelsuma_seippi,1
Phelsuma_parkeri,1
Phelsuma_pronki,1
Phelsuma_barbouri,1
Phelsuma_mutabilis,1
Phelsuma_breviceps,1
Phelsuma_standingi,1
Phelsuma_andamanense,1
Phelsuma_gigas,1
Phelsuma_edwardnewtoni,1
Phelsuma_guentheri,1
Phelsuma_cepediana,1
Phelsuma_borbonica,1
Phelsuma_guimbeaui,1
Phelsuma_inexpectata,1
Phelsuma_ornata,1
Phelsuma_modesta,1
Phelsuma_nigristriata,1
Phelsuma_ravenala,1
Phelsuma_dubia,1
Phelsuma_flavigularis,1
Phelsuma_hielscheri,1
Phelsuma_malamakibo,1
Phelsuma_berghofi,1
Phelsuma_serraticauda,1
Phelsuma_robertmertensi,1
Phelsuma_laticauda,1
Phelsuma_klemmeri,1
Phelsuma_quadriocellata,1
Phelsuma_antanosy,1
Phelsuma_pusilla,1
Phelsuma_comorensis,1
Phelsuma_kely,1
Phelsuma_lineata,1
Cricosaura_typica,2
Xantusia_henshawi,2
Xantusia_gracilis,2
Xantusia_sanchezi,2
Xantusia_bolsonae,2
Xantusia_riversiana,2
Xantusia_wigginsi,2
Xantusia_bezyi,2
Xantusia_vigilis,2
Xantusia_arizonae,2
Lepidophyma_mayae,2
Lepidophyma_tuxtlae,2
Lepidophyma_lipetzi,2
Lepidophyma_reticulatum,2
Lepidophyma_flavimaculatum,2
Lepidophyma_pajapanensis,2
Lepidophyma_occulor,2
Lepidophyma_sylvaticum,2
Lepidophyma_micropholis,2
Lepidophyma_gaigeae,2
Lepidophyma_smithii,2
Lepidophyma_lineri,2
Lepidophyma_cuicateca,2
Lepidophyma_lowei,2
Lepidophyma_dontomasi,2
Lepidophyma_radula,2
Gerrhosaurus_major,1
Cordylosaurus_subtessellatus,1
Tetradactylus_seps,1
Tetradactylus_tetradactylus,1
Tetradactylus_africanus,1
Gerrhosaurus_validus,1
Gerrhosaurus_typicus,1
Gerrhosaurus_skoogi,1
Gerrhosaurus_nigrolineatus,1
Gerrhosaurus_flavigularis,1
Gerrhosaurus_multilineatus,1
Tracheloptychus_petersi,1
Tracheloptychus_madagascariensis,1
Zonosaurus_madagascariensis,1
Zonosaurus_haraldmeieri,1
Zonosaurus_karsteni,1
Zonosaurus_laticaudatus,1
Zonosaurus_anelanelany,1
Zonosaurus_ornatus,1
Zonosaurus_quadrilineatus,1
Zonosaurus_trilineatus,1
Zonosaurus_boettgeri,1
Zonosaurus_tsingy,1
Zonosaurus_brygooi,1
Zonosaurus_rufipes,1
Zonosaurus_aeneus,1
Zonosaurus_bemaraha,1
Zonosaurus_subunicolor,1
Platysaurus_pungweensis,1
Platysaurus_mitchelli,1
Platysaurus_capensis,1
Platysaurus_broadleyi,1
Platysaurus_intermedius,1
Platysaurus_monotropis,1
Platysaurus_minor,1
Cordylus_cataphractus,2
Cordylus_polyzonus,2
Cordylus_jordani,2
Cordylus_pustulatus,2
Cordylus_campbelli,2
Cordylus_namaquensis,2
Cordylus_peersi,2
Cordylus_lawrenci,2
Cordylus_giganteus,2
Cordylus_warreni,2
Chamaesaura_anguina,2
Chamaesaura_aenea,2
Cordylus_langi,2
Cordylus_microlepidotus,2
Cordylus_melanotus,2
Cordylus_spinosus,2
Cordylus_coeruleopunctatus,2
Cordylus_capensis,2
Cordylus_nebulosus,2
Cordylus_meculae,2
Cordylus_tropidosternum,2
Cordylus_vittifer,2
Cordylus_rhodesianus,2
Cordylus_jonesii,2
Cordylus_beraduccii,2
